Category: All categories

Day,cafe: (Germany)
2020-01-12,91
2020-01-13,53
2020-01-14,57
2020-01-15,59
2020-01-16,63
2020-01-17,70
2020-01-18,78
2020-01-19,88
2020-01-20,60
2020-01-21,62
2020-01-22,60
2020-01-23,60
2020-01-24,64
2020-01-25,83
2020-01-26,86
2020-01-27,57
2020-01-28,56
2020-01-29,53
2020-01-30,61
2020-01-31,65
2020-02-01,84
2020-02-02,85
2020-02-03,60
2020-02-04,60
2020-02-05,60
2020-02-06,59
2020-02-07,68
2020-02-08,81
2020-02-09,74
2020-02-10,52
2020-02-11,60
2020-02-12,59
2020-02-13,65
2020-02-14,79
2020-02-15,89
2020-02-16,97
2020-02-17,59
2020-02-18,60
2020-02-19,61
2020-02-20,62
2020-02-21,68
2020-02-22,88
2020-02-23,89
2020-02-24,63
2020-02-25,62
2020-02-26,55
2020-02-27,54
2020-02-28,61
2020-02-29,77
2020-03-01,86
2020-03-02,55
2020-03-03,56
2020-03-04,59
2020-03-05,59
2020-03-06,65
2020-03-07,86
2020-03-08,90
2020-03-09,52
2020-03-10,48
2020-03-11,51
2020-03-12,44
2020-03-13,43
2020-03-14,57
2020-03-15,67
2020-03-16,38
2020-03-17,39
2020-03-18,34
2020-03-19,29
2020-03-20,26
2020-03-21,29
2020-03-22,29
2020-03-23,21
2020-03-24,19
2020-03-25,19
2020-03-26,21
2020-03-27,22
2020-03-28,26
2020-03-29,26
2020-03-30,22
2020-03-31,20
2020-04-01,20
2020-04-02,21
2020-04-03,20
2020-04-04,28
2020-04-05,31
2020-04-06,22
2020-04-07,20
2020-04-08,23
2020-04-09,22
2020-04-10,29
2020-04-11,25
2020-04-12,26
2020-04-13,28
2020-04-14,21
2020-04-15,18
2020-04-16,21
2020-04-17,22
2020-04-18,24
2020-04-19,30
2020-04-20,20
2020-04-21,20
2020-04-22,19
2020-04-23,22
2020-04-24,20
2020-04-25,23
2020-04-26,30
2020-04-27,19
2020-04-28,19
2020-04-29,19
2020-04-30,23
2020-05-01,33
2020-05-02,26
2020-05-03,33
2020-05-04,20
2020-05-05,23
2020-05-06,26
2020-05-07,26
2020-05-08,28
2020-05-09,32
2020-05-10,40
2020-05-11,29
2020-05-12,31
2020-05-13,35
2020-05-14,37
2020-05-15,41
2020-05-16,48
2020-05-17,56
2020-05-18,46
2020-05-19,42
2020-05-20,48
2020-05-21,60
2020-05-22,49
2020-05-23,53
2020-05-24,59
2020-05-25,42
2020-05-26,46
2020-05-27,43
2020-05-28,46
2020-05-29,51
2020-05-30,66
2020-05-31,77
2020-06-01,79
2020-06-02,50
2020-06-03,44
2020-06-04,49
2020-06-05,55
2020-06-06,65
2020-06-07,72
2020-06-08,50
2020-06-09,53
2020-06-10,55
2020-06-11,73
2020-06-12,64
2020-06-13,68
2020-06-14,71
2020-06-15,49
2020-06-16,51
2020-06-17,52
2020-06-18,53
2020-06-19,61
2020-06-20,76
2020-06-21,75
2020-06-22,52
2020-06-23,52
2020-06-24,55
2020-06-25,54
2020-06-26,62
2020-06-27,70
2020-06-28,78
2020-06-29,65
2020-06-30,57
2020-07-01,57
2020-07-02,56
2020-07-03,63
2020-07-04,78
2020-07-05,83
2020-07-06,57
2020-07-07,59
2020-07-08,63
2020-07-09,61
2020-07-10,66
2020-07-11,82
2020-07-12,84
2020-07-13,57
2020-07-14,63
2020-07-15,66
2020-07-16,64
2020-07-17,72
2020-07-18,83
2020-07-19,89
2020-07-20,71
2020-07-21,71
2020-07-22,68
2020-07-23,74
2020-07-24,76
2020-07-25,92
2020-07-26,100
2020-07-27,62
2020-07-28,68
2020-07-29,65
2020-07-30,71
2020-07-31,66
2020-08-01,76
2020-08-02,86
2020-08-03,67
2020-08-04,70
2020-08-05,71
2020-08-06,70
2020-08-07,67
2020-08-08,75
2020-08-09,76
2020-08-10,61
2020-08-11,61
2020-08-12,63
2020-08-13,63
2020-08-14,68
2020-08-15,81
2020-08-16,86
2020-08-17,62
2020-08-18,67
