Category: All categories

Day,bar: (United Kingdom)
2020-01-12,77
2020-01-13,71
2020-01-14,70
2020-01-15,70
2020-01-16,73
2020-01-17,83
2020-01-18,88
2020-01-19,73
2020-01-20,74
2020-01-21,72
2020-01-22,75
2020-01-23,75
2020-01-24,79
2020-01-25,90
2020-01-26,77
2020-01-27,74
2020-01-28,70
2020-01-29,73
2020-01-30,72
2020-01-31,76
2020-02-01,86
2020-02-02,75
2020-02-03,73
2020-02-04,73
2020-02-05,76
2020-02-06,80
2020-02-07,78
2020-02-08,89
2020-02-09,74
2020-02-10,74
2020-02-11,73
2020-02-12,76
2020-02-13,77
2020-02-14,84
2020-02-15,84
2020-02-16,75
2020-02-17,81
2020-02-18,74
2020-02-19,75
2020-02-20,91
2020-02-21,86
2020-02-22,86
2020-02-23,72
2020-02-24,69
2020-02-25,67
2020-02-26,70
2020-02-27,73
2020-02-28,81
2020-02-29,88
2020-03-01,75
2020-03-02,68
2020-03-03,71
2020-03-04,67
2020-03-05,68
2020-03-06,79
2020-03-07,85
2020-03-08,76
2020-03-09,63
2020-03-10,65
2020-03-11,63
2020-03-12,56
2020-03-13,65
2020-03-14,72
2020-03-15,58
2020-03-16,51
2020-03-17,50
2020-03-18,46
2020-03-19,44
2020-03-20,55
2020-03-21,61
2020-03-22,55
2020-03-23,45
2020-03-24,44
2020-03-25,45
2020-03-26,43
2020-03-27,50
2020-03-28,56
2020-03-29,51
2020-03-30,48
2020-03-31,48
2020-04-01,50
2020-04-02,50
2020-04-03,54
2020-04-04,59
2020-04-05,51
2020-04-06,49
2020-04-07,51
2020-04-08,52
2020-04-09,53
2020-04-10,67
2020-04-11,58
2020-04-12,50
2020-04-13,54
2020-04-14,53
2020-04-15,50
2020-04-16,52
2020-04-17,60
2020-04-18,66
2020-04-19,57
2020-04-20,56
2020-04-21,57
2020-04-22,55
2020-04-23,55
2020-04-24,63
2020-04-25,67
2020-04-26,64
2020-04-27,56
2020-04-28,54
2020-04-29,58
2020-04-30,54
2020-05-01,63
2020-05-02,71
2020-05-03,61
2020-05-04,55
2020-05-05,64
2020-05-06,55
2020-05-07,57
2020-05-08,62
2020-05-09,68
2020-05-10,63
2020-05-11,58
2020-05-12,59
2020-05-13,56
2020-05-14,57
2020-05-15,63
2020-05-16,72
2020-05-17,67
2020-05-18,62
2020-05-19,58
2020-05-20,57
2020-05-21,62
2020-05-22,67
2020-05-23,71
2020-05-24,67
2020-05-25,64
2020-05-26,58
2020-05-27,62
2020-05-28,59
2020-05-29,64
2020-05-30,64
2020-05-31,66
2020-06-01,57
2020-06-02,58
2020-06-03,57
2020-06-04,57
2020-06-05,59
2020-06-06,71
2020-06-07,66
2020-06-08,58
2020-06-09,60
2020-06-10,63
2020-06-11,62
2020-06-12,63
2020-06-13,70
2020-06-14,68
2020-06-15,61
2020-06-16,59
2020-06-17,60
2020-06-18,59
2020-06-19,64
2020-06-20,69
2020-06-21,67
2020-06-22,66
2020-06-23,64
2020-06-24,62
2020-06-25,59
2020-06-26,62
2020-06-27,70
2020-06-28,70
2020-06-29,63
2020-06-30,62
2020-07-01,65
2020-07-02,67
2020-07-03,71
2020-07-04,89
2020-07-05,77
2020-07-06,75
2020-07-07,71
2020-07-08,69
2020-07-09,74
2020-07-10,81
2020-07-11,84
2020-07-12,80
2020-07-13,75
2020-07-14,75
2020-07-15,74
2020-07-16,76
2020-07-17,81
2020-07-18,92
2020-07-19,83
2020-07-20,82
2020-07-21,80
2020-07-22,77
2020-07-23,85
2020-07-24,89
2020-07-25,100
2020-07-26,83
2020-07-27,77
2020-07-28,80
2020-07-29,82
2020-07-30,81
2020-07-31,85
2020-08-01,89
2020-08-02,87
2020-08-03,87
2020-08-04,85
2020-08-05,84
2020-08-06,83
2020-08-07,82
2020-08-08,90
2020-08-09,87
2020-08-10,84
2020-08-11,85
2020-08-12,86
2020-08-13,80
2020-08-14,88
2020-08-15,92
2020-08-16,87
2020-08-17,87
2020-08-18,89
