Category: All categories

Day,cafe: (France)
2020-01-12,73
2020-01-13,70
2020-01-14,65
2020-01-15,60
2020-01-16,67
2020-01-17,69
2020-01-18,96
2020-01-19,90
2020-01-20,67
2020-01-21,71
2020-01-22,75
2020-01-23,67
2020-01-24,77
2020-01-25,96
2020-01-26,82
2020-01-27,62
2020-01-28,60
2020-01-29,66
2020-01-30,68
2020-01-31,74
2020-02-01,87
2020-02-02,84
2020-02-03,62
2020-02-04,66
2020-02-05,65
2020-02-06,66
2020-02-07,82
2020-02-08,91
2020-02-09,84
2020-02-10,68
2020-02-11,71
2020-02-12,68
2020-02-13,77
2020-02-14,82
2020-02-15,88
2020-02-16,85
2020-02-17,78
2020-02-18,70
2020-02-19,70
2020-02-20,65
2020-02-21,80
2020-02-22,99
2020-02-23,98
2020-02-24,70
2020-02-25,73
2020-02-26,72
2020-02-27,71
2020-02-28,78
2020-02-29,100
2020-03-01,74
2020-03-02,59
2020-03-03,68
2020-03-04,66
2020-03-05,63
2020-03-06,68
2020-03-07,89
2020-03-08,83
2020-03-09,67
2020-03-10,63
2020-03-11,55
2020-03-12,53
2020-03-13,53
2020-03-14,68
2020-03-15,45
2020-03-16,29
2020-03-17,30
2020-03-18,33
2020-03-19,32
2020-03-20,34
2020-03-21,42
2020-03-22,51
2020-03-23,32
2020-03-24,33
2020-03-25,34
2020-03-26,39
2020-03-27,38
2020-03-28,43
2020-03-29,48
2020-03-30,37
2020-03-31,37
2020-04-01,39
2020-04-02,43
2020-04-03,34
2020-04-04,47
2020-04-05,50
2020-04-06,36
2020-04-07,41
2020-04-08,42
2020-04-09,42
2020-04-10,45
2020-04-11,52
2020-04-12,43
2020-04-13,48
2020-04-14,47
2020-04-15,44
2020-04-16,38
2020-04-17,43
2020-04-18,62
2020-04-19,53
2020-04-20,39
2020-04-21,47
2020-04-22,49
2020-04-23,42
2020-04-24,43
2020-04-25,51
2020-04-26,50
2020-04-27,45
2020-04-28,36
2020-04-29,44
2020-04-30,44
2020-05-01,57
2020-05-02,52
2020-05-03,54
2020-05-04,43
2020-05-05,43
2020-05-06,40
2020-05-07,45
2020-05-08,48
2020-05-09,55
2020-05-10,48
2020-05-11,41
2020-05-12,43
2020-05-13,45
2020-05-14,49
2020-05-15,46
2020-05-16,55
2020-05-17,51
2020-05-18,39
2020-05-19,47
2020-05-20,44
2020-05-21,43
2020-05-22,53
2020-05-23,48
2020-05-24,51
2020-05-25,45
2020-05-26,48
2020-05-27,49
2020-05-28,48
2020-05-29,46
2020-05-30,63
2020-05-31,60
2020-06-01,64
2020-06-02,61
2020-06-03,61
2020-06-04,57
2020-06-05,64
2020-06-06,83
2020-06-07,77
2020-06-08,61
2020-06-09,56
2020-06-10,63
2020-06-11,64
2020-06-12,65
2020-06-13,74
2020-06-14,69
2020-06-15,67
2020-06-16,69
2020-06-17,63
2020-06-18,65
2020-06-19,73
2020-06-20,92
2020-06-21,87
2020-06-22,69
2020-06-23,61
2020-06-24,66
2020-06-25,67
2020-06-26,75
2020-06-27,80
2020-06-28,75
2020-06-29,68
2020-06-30,64
2020-07-01,66
2020-07-02,67
2020-07-03,80
2020-07-04,84
2020-07-05,91
2020-07-06,64
2020-07-07,60
2020-07-08,73
2020-07-09,65
2020-07-10,79
2020-07-11,89
2020-07-12,84
2020-07-13,80
2020-07-14,77
2020-07-15,67
2020-07-16,68
2020-07-17,77
2020-07-18,97
2020-07-19,84
2020-07-20,66
2020-07-21,64
2020-07-22,70
2020-07-23,68
2020-07-24,74
2020-07-25,93
2020-07-26,90
2020-07-27,60
2020-07-28,75
2020-07-29,73
2020-07-30,69
2020-07-31,71
2020-08-01,85
2020-08-02,86
2020-08-03,72
2020-08-04,73
2020-08-05,76
2020-08-06,75
2020-08-07,79
2020-08-08,88
2020-08-09,86
2020-08-10,80
2020-08-11,84
2020-08-12,86
2020-08-13,75
2020-08-14,77
2020-08-15,89
2020-08-16,86
2020-08-17,83
2020-08-18,75
