Category: All categories

Day,cafe: (United Kingdom)
2020-01-12,67
2020-01-13,60
2020-01-14,57
2020-01-15,59
2020-01-16,59
2020-01-17,65
2020-01-18,79
2020-01-19,77
2020-01-20,62
2020-01-21,58
2020-01-22,60
2020-01-23,61
2020-01-24,65
2020-01-25,79
2020-01-26,74
2020-01-27,59
2020-01-28,58
2020-01-29,56
2020-01-30,60
2020-01-31,64
2020-02-01,79
2020-02-02,75
2020-02-03,64
2020-02-04,60
2020-02-05,61
2020-02-06,64
2020-02-07,68
2020-02-08,80
2020-02-09,70
2020-02-10,62
2020-02-11,55
2020-02-12,65
2020-02-13,64
2020-02-14,72
2020-02-15,79
2020-02-16,78
2020-02-17,77
2020-02-18,77
2020-02-19,74
2020-02-20,71
2020-02-21,80
2020-02-22,80
2020-02-23,75
2020-02-24,63
2020-02-25,57
2020-02-26,56
2020-02-27,61
2020-02-28,69
2020-02-29,81
2020-03-01,78
2020-03-02,61
2020-03-03,62
2020-03-04,57
2020-03-05,58
2020-03-06,64
2020-03-07,81
2020-03-08,73
2020-03-09,54
2020-03-10,52
2020-03-11,50
2020-03-12,47
2020-03-13,50
2020-03-14,60
2020-03-15,56
2020-03-16,42
2020-03-17,39
2020-03-18,37
2020-03-19,36
2020-03-20,46
2020-03-21,50
2020-03-22,36
2020-03-23,26
2020-03-24,22
2020-03-25,17
2020-03-26,20
2020-03-27,22
2020-03-28,25
2020-03-29,21
2020-03-30,19
2020-03-31,21
2020-04-01,21
2020-04-02,19
2020-04-03,22
2020-04-04,24
2020-04-05,21
2020-04-06,22
2020-04-07,19
2020-04-08,18
2020-04-09,22
2020-04-10,22
2020-04-11,21
2020-04-12,20
2020-04-13,23
2020-04-14,20
2020-04-15,20
2020-04-16,33
2020-04-17,24
2020-04-18,26
2020-04-19,22
2020-04-20,19
2020-04-21,21
2020-04-22,19
2020-04-23,20
2020-04-24,20
2020-04-25,26
2020-04-26,22
2020-04-27,21
2020-04-28,21
2020-04-29,21
2020-04-30,20
2020-05-01,24
2020-05-02,28
2020-05-03,26
2020-05-04,22
2020-05-05,24
2020-05-06,22
2020-05-07,21
2020-05-08,27
2020-05-09,25
2020-05-10,29
2020-05-11,24
2020-05-12,23
2020-05-13,26
2020-05-14,26
2020-05-15,31
2020-05-16,33
2020-05-17,34
2020-05-18,31
2020-05-19,30
2020-05-20,27
2020-05-21,28
2020-05-22,32
2020-05-23,34
2020-05-24,37
2020-05-25,34
2020-05-26,30
2020-05-27,28
2020-05-28,30
2020-05-29,33
2020-05-30,36
2020-05-31,35
2020-06-01,30
2020-06-02,29
2020-06-03,27
2020-06-04,28
2020-06-05,30
2020-06-06,37
2020-06-07,39
2020-06-08,32
2020-06-09,27
2020-06-10,29
2020-06-11,30
2020-06-12,34
2020-06-13,40
2020-06-14,41
2020-06-15,32
2020-06-16,30
2020-06-17,29
2020-06-18,33
2020-06-19,34
2020-06-20,41
2020-06-21,42
2020-06-22,39
2020-06-23,34
2020-06-24,37
2020-06-25,35
2020-06-26,37
2020-06-27,42
2020-06-28,43
2020-06-29,37
2020-06-30,35
2020-07-01,37
2020-07-02,44
2020-07-03,50
2020-07-04,62
2020-07-05,64
2020-07-06,54
2020-07-07,47
2020-07-08,50
2020-07-09,50
2020-07-10,56
2020-07-11,66
2020-07-12,63
2020-07-13,57
2020-07-14,52
2020-07-15,54
2020-07-16,55
2020-07-17,62
2020-07-18,70
2020-07-19,84
2020-07-20,62
2020-07-21,60
2020-07-22,62
2020-07-23,72
2020-07-24,88
2020-07-25,96
2020-07-26,100
2020-07-27,66
2020-07-28,66
2020-07-29,63
2020-07-30,63
2020-07-31,63
2020-08-01,78
2020-08-02,81
2020-08-03,86
2020-08-04,77
2020-08-05,80
2020-08-06,72
2020-08-07,69
2020-08-08,79
2020-08-09,89
2020-08-10,82
2020-08-11,85
2020-08-12,79
2020-08-13,67
2020-08-14,75
2020-08-15,85
2020-08-16,93
2020-08-17,84
2020-08-18,86
