Category: All categories

Week,Bar: (Netherlands)
2019-09-01,89
2019-09-08,85
2019-09-15,89
2019-09-22,91
2019-09-29,89
2019-10-06,88
2019-10-13,94
2019-10-20,100
2019-10-27,94
2019-11-03,90
2019-11-10,92
2019-11-17,90
2019-11-24,85
2019-12-01,79
2019-12-08,87
2019-12-15,87
2019-12-22,89
2019-12-29,93
2020-01-05,86
2020-01-12,97
2020-01-19,94
2020-01-26,94
2020-02-02,95
2020-02-09,92
2020-02-16,97
2020-02-23,94
2020-03-01,91
2020-03-08,75
2020-03-15,53
2020-03-22,60
2020-03-29,62
2020-04-05,61
2020-04-12,65
2020-04-19,60
2020-04-26,72
2020-05-03,72
2020-05-10,62
2020-05-17,66
2020-05-24,66
2020-05-31,81
2020-06-07,83
2020-06-14,83
2020-06-21,84
2020-06-28,92
2020-07-05,88
2020-07-12,94
2020-07-19,98
2020-07-26,95
2020-08-02,90
2020-08-09,91
2020-08-16,90
2020-08-23,92
