Category: All categories

Week,Restaurant: (Chile)
2019-09-01,61
2019-09-08,55
2019-09-15,78
2019-09-22,55
2019-09-29,58
2019-10-06,53
2019-10-13,53
2019-10-20,29
2019-10-27,53
2019-11-03,51
2019-11-10,44
2019-11-17,47
2019-11-24,53
2019-12-01,60
2019-12-08,53
2019-12-15,52
2019-12-22,60
2019-12-29,68
2020-01-05,62
2020-01-12,58
2020-01-19,67
2020-01-26,59
2020-02-02,69
2020-02-09,100
2020-02-16,65
2020-02-23,57
2020-03-01,53
2020-03-08,46
2020-03-15,19
2020-03-22,13
2020-03-29,12
2020-04-05,16
2020-04-12,16
2020-04-19,15
2020-04-26,19
2020-05-03,18
2020-05-10,18
2020-05-17,15
2020-05-24,17
2020-05-31,13
2020-06-07,16
2020-06-14,14
2020-06-21,16
2020-06-28,16
2020-07-05,17
2020-07-12,16
2020-07-19,15
2020-07-26,14
2020-08-02,13
2020-08-09,14
2020-08-16,16
2020-08-23,14
