Category: All categories

Week,Cafe: (Colombia)
2019-09-01,86
2019-09-08,90
2019-09-15,90
2019-09-22,88
2019-09-29,92
2019-10-06,93
2019-10-13,91
2019-10-20,87
2019-10-27,83
2019-11-03,88
2019-11-10,91
2019-11-17,84
2019-11-24,82
2019-12-01,87
2019-12-08,86
2019-12-15,83
2019-12-22,86
2019-12-29,100
2020-01-05,99
2020-01-12,94
2020-01-19,85
2020-01-26,84
2020-02-02,78
2020-02-09,82
2020-02-16,83
2020-02-23,82
2020-03-01,82
2020-03-08,85
2020-03-15,60
2020-03-22,55
2020-03-29,68
2020-04-05,72
2020-04-12,71
2020-04-19,72
2020-04-26,73
2020-05-03,73
2020-05-10,73
2020-05-17,73
2020-05-24,77
2020-05-31,74
2020-06-07,79
2020-06-14,72
2020-06-21,74
2020-06-28,73
2020-07-05,70
2020-07-12,70
2020-07-19,73
2020-07-26,70
2020-08-02,68
2020-08-09,69
2020-08-16,73
2020-08-23,72
