Category: All categories

Week,home workout: (Colombia)
2019-09-01,30
2019-09-08,30
2019-09-15,0
2019-09-22,30
2019-09-29,0
2019-10-06,32
2019-10-13,32
2019-10-20,29
2019-10-27,29
2019-11-03,32
2019-11-10,0
2019-11-17,31
2019-11-24,0
2019-12-01,34
2019-12-08,35
2019-12-15,35
2019-12-22,40
2019-12-29,40
2020-01-05,0
2020-01-12,61
2020-01-19,0
2020-01-26,29
2020-02-02,0
2020-02-09,27
2020-02-16,26
2020-02-23,0
2020-03-01,25
2020-03-08,25
2020-03-15,91
2020-03-22,100
2020-03-29,85
2020-04-05,60
2020-04-12,47
2020-04-19,42
2020-04-26,64
2020-05-03,41
2020-05-10,63
2020-05-17,35
2020-05-24,0
2020-05-31,42
2020-06-07,32
2020-06-14,38
2020-06-21,33
2020-06-28,48
2020-07-05,24
2020-07-12,56
2020-07-19,25
2020-07-26,40
2020-08-02,40
2020-08-09,34
2020-08-16,0
2020-08-23,0
