Category: All categories

Week,Sewing: (Colombia)
2019-09-01,65
2019-09-08,52
2019-09-15,65
2019-09-22,41
2019-09-29,58
2019-10-06,51
2019-10-13,61
2019-10-20,60
2019-10-27,55
2019-11-03,49
2019-11-10,61
2019-11-17,49
2019-11-24,55
2019-12-01,55
2019-12-08,53
2019-12-15,47
2019-12-22,51
2019-12-29,52
2020-01-05,53
2020-01-12,60
2020-01-19,58
2020-01-26,51
2020-02-02,61
2020-02-09,57
2020-02-16,63
2020-02-23,51
2020-03-01,51
2020-03-08,46
2020-03-15,54
2020-03-22,53
2020-03-29,46
2020-04-05,62
2020-04-12,70
2020-04-19,73
2020-04-26,73
2020-05-03,72
2020-05-10,74
2020-05-17,84
2020-05-24,76
2020-05-31,94
2020-06-07,77
2020-06-14,92
2020-06-21,100
2020-06-28,90
2020-07-05,93
2020-07-12,88
2020-07-19,90
2020-07-26,75
2020-08-02,80
2020-08-09,67
2020-08-16,76
2020-08-23,64
