Category: All categories

Week,DIY: (Indonesia)
2019-09-01,60
2019-09-08,62
2019-09-15,56
2019-09-22,56
2019-09-29,56
2019-10-06,56
2019-10-13,63
2019-10-20,55
2019-10-27,61
2019-11-03,59
2019-11-10,69
2019-11-17,63
2019-11-24,60
2019-12-01,60
2019-12-08,60
2019-12-15,59
2019-12-22,58
2019-12-29,59
2020-01-05,59
2020-01-12,61
2020-01-19,62
2020-01-26,65
2020-02-02,63
2020-02-09,59
2020-02-16,66
2020-02-23,59
2020-03-01,64
2020-03-08,62
2020-03-15,87
2020-03-22,100
2020-03-29,74
2020-04-05,68
2020-04-12,72
2020-04-19,72
2020-04-26,73
2020-05-03,68
2020-05-10,61
2020-05-17,70
2020-05-24,77
2020-05-31,73
2020-06-07,64
2020-06-14,76
2020-06-21,78
2020-06-28,87
2020-07-05,65
2020-07-12,62
2020-07-19,55
2020-07-26,59
2020-08-02,59
2020-08-09,56
2020-08-16,54
2020-08-23,48
