Category: All categories

Week,Sewing: (Mexico)
2019-09-01,72
2019-09-08,74
2019-09-15,67
2019-09-22,70
2019-09-29,75
2019-10-06,72
2019-10-13,65
2019-10-20,71
2019-10-27,69
2019-11-03,67
2019-11-10,70
2019-11-17,70
2019-11-24,67
2019-12-01,62
2019-12-08,69
2019-12-15,72
2019-12-22,65
2019-12-29,70
2020-01-05,72
2020-01-12,76
2020-01-19,73
2020-01-26,70
2020-02-02,64
2020-02-09,66
2020-02-16,69
2020-02-23,66
2020-03-01,74
2020-03-08,65
2020-03-15,63
2020-03-22,77
2020-03-29,79
2020-04-05,93
2020-04-12,95
2020-04-19,93
2020-04-26,94
2020-05-03,93
2020-05-10,83
2020-05-17,90
2020-05-24,89
2020-05-31,82
2020-06-07,87
2020-06-14,91
2020-06-21,85
2020-06-28,82
2020-07-05,89
2020-07-12,95
2020-07-19,99
2020-07-26,100
2020-08-02,90
2020-08-09,89
2020-08-16,86
2020-08-23,87
