Category: All categories

Week,Cafe: (Mexico)
2019-09-01,76
2019-09-08,76
2019-09-15,83
2019-09-22,89
2019-09-29,88
2019-10-06,86
2019-10-13,84
2019-10-20,86
2019-10-27,81
2019-11-03,83
2019-11-10,92
2019-11-17,90
2019-11-24,97
2019-12-01,93
2019-12-08,100
2019-12-15,94
2019-12-22,94
2019-12-29,89
2020-01-05,85
2020-01-12,85
2020-01-19,87
2020-01-26,86
2020-02-02,85
2020-02-09,84
2020-02-16,84
2020-02-23,84
2020-03-01,84
2020-03-08,79
2020-03-15,69
2020-03-22,65
2020-03-29,72
2020-04-05,79
2020-04-12,77
2020-04-19,73
2020-04-26,73
2020-05-03,73
2020-05-10,73
2020-05-17,74
2020-05-24,74
2020-05-31,73
2020-06-07,78
2020-06-14,81
2020-06-21,75
2020-06-28,78
2020-07-05,82
2020-07-12,83
2020-07-19,81
2020-07-26,80
2020-08-02,81
2020-08-09,79
2020-08-16,78
2020-08-23,81
