Category: All categories

Day,restaurant: (Worldwide)
2020-01-12,75
2020-01-13,60
2020-01-14,60
2020-01-15,61
2020-01-16,64
2020-01-17,72
2020-01-18,86
2020-01-19,76
2020-01-20,63
2020-01-21,61
2020-01-22,62
2020-01-23,64
2020-01-24,73
2020-01-25,89
2020-01-26,75
2020-01-27,60
2020-01-28,59
2020-01-29,59
2020-01-30,62
2020-01-31,70
2020-02-01,86
2020-02-02,70
2020-02-03,57
2020-02-04,59
2020-02-05,60
2020-02-06,63
2020-02-07,73
2020-02-08,89
2020-02-09,77
2020-02-10,61
2020-02-11,64
2020-02-12,71
2020-02-13,75
2020-02-14,99
2020-02-15,100
2020-02-16,84
2020-02-17,66
2020-02-18,61
2020-02-19,61
2020-02-20,62
2020-02-21,74
2020-02-22,85
2020-02-23,78
2020-02-24,59
2020-02-25,59
2020-02-26,58
2020-02-27,60
2020-02-28,69
2020-02-29,80
2020-03-01,73
2020-03-02,54
2020-03-03,56
2020-03-04,56
2020-03-05,59
2020-03-06,67
2020-03-07,79
2020-03-08,72
2020-03-09,52
2020-03-10,51
2020-03-11,48
2020-03-12,45
2020-03-13,48
2020-03-14,59
2020-03-15,53
2020-03-16,42
2020-03-17,37
2020-03-18,32
2020-03-19,31
2020-03-20,33
2020-03-21,34
2020-03-22,29
2020-03-23,23
2020-03-24,24
2020-03-25,24
2020-03-26,24
2020-03-27,28
2020-03-28,30
2020-03-29,28
2020-03-30,22
2020-03-31,23
2020-04-01,25
2020-04-02,27
2020-04-03,30
2020-04-04,32
2020-04-05,28
2020-04-06,22
2020-04-07,24
2020-04-08,25
2020-04-09,28
2020-04-10,32
2020-04-11,31
2020-04-12,27
2020-04-13,24
2020-04-14,25
2020-04-15,26
2020-04-16,28
2020-04-17,31
2020-04-18,36
2020-04-19,32
2020-04-20,24
2020-04-21,26
2020-04-22,27
2020-04-23,27
2020-04-24,33
2020-04-25,36
2020-04-26,34
2020-04-27,25
2020-04-28,27
2020-04-29,29
2020-04-30,29
2020-05-01,37
2020-05-02,39
2020-05-03,36
2020-05-04,28
2020-05-05,36
2020-05-06,33
2020-05-07,32
2020-05-08,38
2020-05-09,44
2020-05-10,51
2020-05-11,32
2020-05-12,31
2020-05-13,33
2020-05-14,35
2020-05-15,40
2020-05-16,45
2020-05-17,42
2020-05-18,33
2020-05-19,34
2020-05-20,37
2020-05-21,38
2020-05-22,42
2020-05-23,49
2020-05-24,48
2020-05-25,39
2020-05-26,35
2020-05-27,37
2020-05-28,40
2020-05-29,45
2020-05-30,49
2020-05-31,49
2020-06-01,41
2020-06-02,42
2020-06-03,45
2020-06-04,44
2020-06-05,52
2020-06-06,62
2020-06-07,58
2020-06-08,46
2020-06-09,46
2020-06-10,49
2020-06-11,50
2020-06-12,56
2020-06-13,67
2020-06-14,61
2020-06-15,48
2020-06-16,50
2020-06-17,52
2020-06-18,53
2020-06-19,60
2020-06-20,72
2020-06-21,69
2020-06-22,51
2020-06-23,53
2020-06-24,55
2020-06-25,55
2020-06-26,62
2020-06-27,74
2020-06-28,68
2020-06-29,53
2020-06-30,53
2020-07-01,56
2020-07-02,57
2020-07-03,66
2020-07-04,74
2020-07-05,71
2020-07-06,57
2020-07-07,57
2020-07-08,59
2020-07-09,59
2020-07-10,67
2020-07-11,80
2020-07-12,76
2020-07-13,60
2020-07-14,59
2020-07-15,58
2020-07-16,59
2020-07-17,66
2020-07-18,76
2020-07-19,74
2020-07-20,58
2020-07-21,59
2020-07-22,60
2020-07-23,62
2020-07-24,67
2020-07-25,80
2020-07-26,75
2020-07-27,59
2020-07-28,60
2020-07-29,62
2020-07-30,62
2020-07-31,69
2020-08-01,81
2020-08-02,79
2020-08-03,64
2020-08-04,63
2020-08-05,65
2020-08-06,63
2020-08-07,70
2020-08-08,83
2020-08-09,80
2020-08-10,65
2020-08-11,64
2020-08-12,65
2020-08-13,66
2020-08-14,72
2020-08-15,86
2020-08-16,79
2020-08-17,64
2020-08-18,64
