Category: All categories

Week,DIY: (Spain)
2019-09-01,64
2019-09-08,66
2019-09-15,57
2019-09-22,63
2019-09-29,55
2019-10-06,66
2019-10-13,70
2019-10-20,87
2019-10-27,81
2019-11-03,67
2019-11-10,65
2019-11-17,68
2019-11-24,67
2019-12-01,85
2019-12-08,77
2019-12-15,72
2019-12-22,61
2019-12-29,79
2020-01-05,65
2020-01-12,61
2020-01-19,51
2020-01-26,70
2020-02-02,82
2020-02-09,83
2020-02-16,80
2020-02-23,71
2020-03-01,65
2020-03-08,55
2020-03-15,77
2020-03-22,92
2020-03-29,87
2020-04-05,100
2020-04-12,97
2020-04-19,91
2020-04-26,89
2020-05-03,72
2020-05-10,86
2020-05-17,71
2020-05-24,73
2020-05-31,68
2020-06-07,68
2020-06-14,66
2020-06-21,60
2020-06-28,57
2020-07-05,57
2020-07-12,54
2020-07-19,57
2020-07-26,67
2020-08-02,59
2020-08-09,64
2020-08-16,69
2020-08-23,69
