Category: All categories

Week,Bar: (United States)
2019-09-01,90
2019-09-08,88
2019-09-15,89
2019-09-22,89
2019-09-29,89
2019-10-06,89
2019-10-13,88
2019-10-20,89
2019-10-27,84
2019-11-03,88
2019-11-10,86
2019-11-17,86
2019-11-24,86
2019-12-01,83
2019-12-08,86
2019-12-15,86
2019-12-22,95
2019-12-29,100
2020-01-05,88
2020-01-12,90
2020-01-19,92
2020-01-26,89
2020-02-02,87
2020-02-09,94
2020-02-16,97
2020-02-23,91
2020-03-01,90
2020-03-08,81
2020-03-15,65
2020-03-22,56
2020-03-29,56
2020-04-05,58
2020-04-12,60
2020-04-19,63
2020-04-26,64
2020-05-03,68
2020-05-10,70
2020-05-17,74
2020-05-24,75
2020-05-31,73
2020-06-07,85
2020-06-14,88
2020-06-21,87
2020-06-28,85
2020-07-05,79
2020-07-12,82
2020-07-19,84
2020-07-26,84
2020-08-02,81
2020-08-09,82
2020-08-16,82
2020-08-23,95
