Category: All categories

Week,Sewing: (United States)
2019-09-01,25
2019-09-08,25
2019-09-15,24
2019-09-22,26
2019-09-29,25
2019-10-06,25
2019-10-13,26
2019-10-20,27
2019-10-27,26
2019-11-03,26
2019-11-10,26
2019-11-17,26
2019-11-24,27
2019-12-01,26
2019-12-08,27
2019-12-15,26
2019-12-22,27
2019-12-29,27
2020-01-05,26
2020-01-12,26
2020-01-19,26
2020-01-26,25
2020-02-02,24
2020-02-09,25
2020-02-16,26
2020-02-23,27
2020-03-01,25
2020-03-08,23
2020-03-15,30
2020-03-22,46
2020-03-29,73
2020-04-05,100
2020-04-12,82
2020-04-19,73
2020-04-26,63
2020-05-03,56
2020-05-10,49
2020-05-17,46
2020-05-24,41
2020-05-31,35
2020-06-07,36
2020-06-14,36
2020-06-21,36
2020-06-28,38
2020-07-05,37
2020-07-12,36
2020-07-19,37
2020-07-26,38
2020-08-02,35
2020-08-09,34
2020-08-16,33
2020-08-23,35
